channel,watch_time_min,stream_time_min,peak_viewers,avg_viewers,followers,followers_gained,views_gained,partnered,mature,language,avg_to_peak_ratio,watch_per_follower,views_per_follower,follower_growth_rate,viewers_per_stream_hr,stickiness,avg_to_peak_ratio_scaled,watch_per_follower_scaled,views_per_follower_scaled,follower_growth_rate_scaled,viewers_per_stream_hr_scaled,stickiness_scaled,engagement_efficiency_score,cluster
xQcOW,6196161750,215250,222720,27716,3246298,1734810,93036735,True,False,English,0.1244432471264367,1908.68544723867,28.659332877018684,0.5343964109271545,7.725714285714286,1.0386017108320682,0.2476850353362731,0.3359772561271009,0.0431025233695847,0.5302949662257278,0.0797883256011605,0.2340445424837482,0.2451487748572659,1
summit1g,6091677300,211845,310998,25610,5310163,1370184,89705964,True,False,English,0.0823477964488517,1147.173316525312,16.893259962076495,0.2580304973689131,7.253416412943426,1.1228172919225892,0.152324404393416,0.1933596799654669,0.0234847301413885,0.2472526183530942,0.0748755637180507,0.3375662326206981,0.1714772048653524,1
Gaules,5644590915,515280,387315,10976,1767635,1023779,102611607,True,True,Portuguese,0.0283386907297677,3193.301170773378,58.05022360385487,0.5791800909124338,1.2780624126688402,0.9980334284201904,0.0299752594114909,0.5765627614663528,0.0921065046673169,0.5761605281765827,0.0127209509978723,0.1841761320679066,0.245283689464587,0
ESL_CSGO,3970318140,517740,300575,7714,3944850,703986,106546942,True,False,English,0.0256641437245279,1006.45604775847,27.009123794314107,0.1784569755504011,0.8939622204195156,0.9941088820452272,0.0239164933025489,0.1670058571093392,0.0403510989307069,0.165756763260026,0.0087256063381407,0.1793518980188613,0.0975179528266038,1
Tfue,3671000070,123660,285644,29602,8938903,2068424,78998587,True,False,English,0.1036324935934239,410.6767989315915,8.837615421042157,0.2313957316686399,14.362930616205723,1.002845653025595,0.2005415422661036,0.0554270798737188,0.0100534034728986,0.2199744112769017,0.1488275173449103,0.1900915412833893,0.1374859159196537,1
Asmongold,3668799075,82260,263720,42414,1563438,554201,61715781,True,False,English,0.1608296678295161,2346.622683470659,39.47440256665119,0.354475841063093,30.936542669584245,1.0515404673332716,0.3301127556753145,0.4179950528545451,0.0611346911500768,0.3460278839751007,0.3212234019242818,0.2499494608365088,0.2877405410693046,1
NICKMERCS,3360675195,136275,115633,24181,4074287,1089824,46084211,True,False,English,0.2091185042332206,824.8498927542414,11.310987910277309,0.2674882746355375,10.646560264171711,1.019849512745296,0.4395035290922068,0.1329942785695796,0.0141773036408556,0.2569388761434843,0.1101704670772922,0.210993472662845,0.1941296545310439,1
Fextralife,3301867485,147885,68795,18985,508816,425468,670137548,True,False,English,0.2759648230249291,6489.315361545235,1317.0528206660167,0.836192258105091,7.702606755249011,1.176047633764069,0.590933363755528,1.0,1.0,0.8393815828191017,0.0795479650121607,0.4029994325421536,0.6521437240214907,0
loltyler1,2928356940,122490,89387,22381,3530767,951730,51349926,True,False,English,0.2503831653372414,829.3826638801145,14.543561214886171,0.2695533293474194,10.963017389174626,1.0681786424388633,0.5329821367608003,0.1338431853764375,0.0195670335144712,0.2590538183467793,0.1134622000936446,0.2704018757628394,0.2215517083091621,1
Anomaly,2865429915,92880,125408,12377,2607076,1532689,36350662,True,False,English,0.0986938632304159,1099.0971935609089,13.943077225213228,0.5878957882317202,7.995478036175711,2.4925977170917384,0.1893538509638515,0.1843558836345944,0.0185658353380358,0.5850867788883158,0.0825943621029481,1.0,0.3433261184879576,1
TimTheTatman,2834436990,108780,142067,25664,5265659,1244341,50119786,True,True,English,0.1806471594388563,538.2872286260846,9.518236178985385,0.2363124919407048,14.155543298400442,1.0152977083112682,0.3750061698840318,0.0793262266396732,0.0111882151804813,0.225009950404772,0.1466703098521539,0.2053981839753879,0.1737665093227501,1
