channel,watch_time_min,stream_time_min,peak_viewers,avg_viewers,followers,followers_gained,views_gained,partnered,mature,language,avg_to_peak_ratio,watch_per_follower,views_per_follower,follower_growth_rate,viewers_per_stream_hr,stickiness,avg_to_peak_ratio_scaled,watch_per_follower_scaled,views_per_follower_scaled,follower_growth_rate_scaled,viewers_per_stream_hr_scaled,stickiness_scaled,engagement_efficiency_score
xQcOW,6196161750,215250,222720,27716,3246298,1734810,93036735,True,False,English,0.12444324712643678,1908.6854472386701,28.659332877018684,0.5343964109271545,7.725714285714286,1.0386017108320682,0.24768503533627317,0.3359772561271009,0.0431025233695847,0.5302949662257278,0.07978832560116059,0.23404454248374826,0.2451487748572659
summit1g,6091677300,211845,310998,25610,5310163,1370184,89705964,True,False,English,0.08234779644885176,1147.173316525312,16.893259962076495,0.25803049736891315,7.253416412943426,1.1228172919225892,0.15232440439341602,0.1933596799654669,0.02348473014138851,0.24725261835309426,0.07487556371805075,0.3375662326206981,0.17147720486535242
Gaules,5644590915,515280,387315,10976,1767635,1023779,102611607,True,True,Portuguese,0.02833869072976776,3193.301170773378,58.05022360385487,0.5791800909124338,1.2780624126688402,0.9980334284201904,0.029975259411490984,0.5765627614663528,0.09210650466731693,0.5761605281765827,0.012720950997872326,0.18417613206790667,0.24528368946458703
ESL_CSGO,3970318140,517740,300575,7714,3944850,703986,106546942,True,False,English,0.025664143724527987,1006.4560477584699,27.009123794314107,0.17845697555040116,0.8939622204195156,0.9941088820452272,0.023916493302548934,0.1670058571093392,0.04035109893070693,0.165756763260026,0.008725606338140736,0.1793518980188613,0.09751795282660385
Tfue,3671000070,123660,285644,29602,8938903,2068424,78998587,True,False,English,0.10363249359342398,410.6767989315915,8.837615421042157,0.2313957316686399,14.362930616205725,1.002845653025595,0.2005415422661036,0.055427079873718844,0.01005340347289867,0.21997441127690173,0.14882751734491034,0.19009154128338931,0.13748591591965378
Asmongold,3668799075,82260,263720,42414,1563438,554201,61715781,True,False,English,0.16082966782951616,2346.622683470659,39.474402566651186,0.354475841063093,30.936542669584245,1.0515404673332716,0.33011275567531456,0.41799505285454513,0.06113469115007687,0.3460278839751007,0.3212234019242818,0.2499494608365088,0.28774054106930463
NICKMERCS,3360675195,136275,115633,24181,4074287,1089824,46084211,True,False,English,0.20911850423322062,824.8498927542414,11.310987910277307,0.2674882746355375,10.646560264171711,1.019849512745296,0.4395035290922068,0.1329942785695796,0.01417730364085564,0.2569388761434843,0.11017046707729228,0.21099347266284504,0.19412965453104394
Fextralife,3301867485,147885,68795,18985,508816,425468,670137548,True,False,English,0.27596482302492914,6489.315361545235,1317.0528206660167,0.836192258105091,7.702606755249011,1.176047633764069,0.590933363755528,1.0,1.0,0.8393815828191017,0.0795479650121607,0.4029994325421536,0.6521437240214907
loltyler1,2928356940,122490,89387,22381,3530767,951730,51349926,True,False,English,0.2503831653372414,829.3826638801145,14.543561214886171,0.26955332934741943,10.963017389174626,1.0681786424388633,0.5329821367608003,0.13384318537643755,0.019567033514471265,0.2590538183467793,0.11346220009364467,0.27040187576283947,0.22155170830916213
Anomaly,2865429915,92880,125408,12377,2607076,1532689,36350662,True,False,English,0.09869386323041593,1099.0971935609089,13.943077225213228,0.5878957882317202,7.995478036175711,2.4925977170917384,0.18935385096385152,0.1843558836345944,0.01856583533803586,0.5850867788883158,0.08259436210294814,1.0,0.34332611848795763
